Description,Price,Rating,Url
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver","₹69,990",4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4ODMyMTg3NjQ2NzA6MTY5ODkyOTA1MjpzcF9hdGY6MjAwNDIxMDk1MDMyMDM6OjA6Og&url=%2FApple-MacBook-Chip-13-inch-256GB%2Fdp%2FB08N5T6CZ6%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmacbook%26qid%3D1698929052%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Apple 2020 MacBook Pro (13.3-inch/33.78 cm, M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","₹1,22,900",4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA4ODMyMTg3NjQ2NzA6MTY5ODkyOTA1MjpzcF9hdGY6MjAwNDIxMDk1MDM2MDM6OjA6Og&url=%2FApple-MacBook-Chip-13-inch-256GB%2Fdp%2FB08N5VSQNG%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmacbook%26qid%3D1698929052%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","₹69,990",4.7 out of 5 stars,https://www.amazon.com/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_3?keywords=macbook&qid=1698929052&sr=8-3
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver","₹69,990",4.7 out of 5 stars,https://www.amazon.com/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5T6CZ6/ref=sr_1_4?keywords=macbook&qid=1698929052&sr=8-4
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold","₹69,990",4.7 out of 5 stars,https://www.amazon.com/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5XSG8Z/ref=sr_1_5?keywords=macbook&qid=1698929052&sr=8-5
"Apple 2020 MacBook Pro (13.3-inch/33.78 cm, M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","₹1,22,900",4.7 out of 5 stars,https://www.amazon.com/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5VSQNG/ref=sr_1_6?keywords=macbook&qid=1698929052&sr=8-6
"ASUS Creator Series Vivobook 16X (2023), Intel Core i7-12650H 12th Gen, 16"" (40.64 cm) FHD+ 120Hz, Laptop (16GB/512GB/8GB RTX 4060 /Win11/Office 2021/FP/70WHr /Black/1.8 kg), K3605ZV-MB741WS","₹1,04,990",2.6 out of 5 stars,https://www.amazon.com/ASUS-Creator-Vivobook-i7-12650H-K3605ZV-MB741WS/dp/B0C5N2K738/ref=sr_1_8?keywords=macbook&qid=1698929052&sr=8-8
"Samsung Galaxy Book3 Pro Intel 13th Gen i7 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/1 TB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC5IN","₹1,55,990",3.0 out of 5 stars,https://www.amazon.com/Samsung-35-56cm-Dynamic-Graphite-NP940XFG-KC5IN/dp/B0BSH521SV/ref=sr_1_9?keywords=macbook&qid=1698929052&sr=8-9
"Chuwi CoreBook X Laptop 14'', Intel Core i3-1005G1, 8GB RAM 512GB SSD, Windows 11 Laptop, 1920x1200 FHD Display, Up to 3.4Ghz | WiFi 6 | Backlit Keyboard | Webcam | BT5.1 | Type-C","₹20,990",3.9 out of 5 stars,https://www.amazon.com/Chuwi-CoreBook-i3-10110U-2160x1440-Keyboard/dp/B09KTR4PDS/ref=sr_1_10?keywords=macbook&qid=1698929052&sr=8-10
"Apple 2022 Mac Studio M1 Ultra chip with 20‑core CPU and 48‑core GPU, 64GB RAM, 1TB SSD - Silver","₹3,89,900",,https://www.amazon.com/Apple-Studio-Ultra-20%E2%80%91core-48%E2%80%91core/dp/B09V4VK649/ref=sr_1_11?keywords=macbook&qid=1698929052&sr=8-11
