Description,Price,Rating,Url
NEORAH -A5 Squared Classic Notebook-100 Gsm-(210x148 mm)-Hardcover Checked Journal-|INCLUDES Pen Loop|Back Pocket| Silk Book Mark|Sticker Label|Journal Box| 160 Pages-Completely HANDMADE-(ORANGE),₹482,4.6 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYXRmOjIwMDYzNTc1OTU3MDk4OjowOjo&url=%2FNEORAH-Notebook-Hardcover-Completely-Handmade%2Fdp%2FB09JKM4Q2Q%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"NEORAH - A5 Ruled Notebook SOFT COVER | Organiser REFILL | Ruled Journal | 100 GSM | 160 pages (Size 21 cm x 14.8 cm) notebook, Planner Journaling Writing Note Taking Diary, Travellers Notebook -DARK GREEN",₹399,4.4 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYXRmOjMwMDAwNTk1MTUwNDAzMjo6MDo6&url=%2FNEORAH-Notebook-notebook-Journaling-Travellers%2Fdp%2FB09W5Y4HXW%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"NEORAH - A5 - Grass Fibre Notebook, Office Notebook- Ruled Writing Journal - Thick 100 GSM paper -192 Pages- (210 x 148 mm) Hard Casebound Notebook- Perfect for Journaling, Office Diary College School Home Business Writing & Note Taking - Completely HANDMADE - (DARK GREEN)",₹349,4.6 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYXRmOjMwMDAzMDIyMjA1NzgzMjo6MDo6&url=%2FNEORAH-Office-Notebook-Ruled-Executive-Notebook%2Fdp%2FB0928X49FG%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lentikart 3D Lenticular Notebook | A5 size, 200 pages | Single Line | Undated Diary | Wiro Notebook for Personal and Office Use | Journey theme",₹349,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfYXRmOjMwMDA0MTI2ODE0NTczMjo6MDo6&url=%2FLentikart-Lenticular-Notebook-Undated-Personal%2Fdp%2FB0CGDRTF88%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Classmate Notebook - Single Line, 72 Pages, 240 mm x 180 mm - Pack Of 4",₹92,4.1 out of 5 stars,https://www.amazon.com/Classmate-Notebook-Single-Line-Pages/dp/B086Q54SXB/ref=sr_1_5?keywords=notebook&qid=1698814058&sr=8-5
"Classmate Pulse Notebook - 24 X 18, 200 Pages Unruled, Wiro Binding, Pack of 4",₹292,4.1 out of 5 stars,https://www.amazon.com/Classmate-Pulse-Notebook-180pages-Unruled/dp/B099S12DDV/ref=sr_1_6?keywords=notebook&qid=1698814058&sr=8-6
"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages ( Assorted )",₹171,4.5 out of 5 stars,https://www.amazon.com/Classmate-Premium-Subject-Notebook-Single/dp/B00LZLQ624/ref=sr_1_7?keywords=notebook&qid=1698814058&sr=8-7
"Luxor 5 Subject Notebook | 70 gsm Paper | Single Ruled | Pages - 300 | Count - 1 | 14 x 21.6 CM | Spiral Binding | Versatile for School, Home & Office | Pro & Student-Friendly",₹152,4.2 out of 5 stars,https://www.amazon.com/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZW3XY/ref=sr_1_8?keywords=notebook&qid=1698814058&sr=8-8
"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Unruled, 300 Pages",₹160,4.5 out of 5 stars,https://www.amazon.com/Classmate-Pulse-Spiral-Notebook-Unruled/dp/B00P93X6EK/ref=sr_1_9?keywords=notebook&qid=1698814058&sr=8-9
Navneet HQ | Five Subject Spiral Wiro Bound Notebook|14.8x21 cm |Single Line |300 Pages | Mint Green,₹170,4.4 out of 5 stars,https://www.amazon.com/Navneet-HQ-Subject-14-8x21-Single/dp/B084CGLMH5/ref=sr_1_10?keywords=notebook&qid=1698814058&sr=8-10
